Year,AUC,Brier
2010,0.8841138978610609,0.013752747082950264
2011,0.8782594525959826,0.014838574018566456
2012,0.8726686438014806,0.010591960587589148
2013,0.8726500388126973,0.012282875150831688
2014,0.9042878779844865,0.01610752068436968
2015,0.9038748592250982,0.012055574971764762
2016,0.9110128817380668,0.009481723648687395
2017,0.9219985631883733,0.011203967199469785
2018,0.9118572487389737,0.01284319360314315
2019,0.7754901799395384,0.016393794529379117
2020,0.5279444359384304,0.055942649755660774
2021,0.7084880228681836,0.01568893976995639
2022,0.691415826209096,0.025550737478970072
2023,0.7091145089175159,0.01238734049647397
2024,0.7219043793921005,0.013186794840989276
