Year,AUC,Brier
2010,0.7333653413383953,0.13611059116471866
2011,0.7245712242929226,0.13735960993228366
2012,0.7172681117728809,0.12899126314099743
2013,0.7273548247243767,0.14668201921219665
2014,0.7339862840446358,0.15325908873804905
2015,0.7226779999921912,0.13802909878792669
2016,0.7265781442851996,0.13190706235531108
2017,0.729944600219389,0.13700449635147968
2018,0.7281833428072417,0.14109012445443622
2019,0.7017389623039041,0.1430629432145418
2020,0.619035824889103,0.0830364538474691
2021,0.6805784610992232,0.12988368768788
2022,0.6811665316409844,0.16034905092635449
2023,0.6826471065313873,0.15764932541564403
2024,0.6849688503206626,0.15642013179390826
