Reporting_Airline,n_samples,auc,brier,prevalence
OO,79143,0.7748916122437428,0.009566689444836842,0.00985557787801827
HA,15008,0.5459025835182801,0.011134038271783562,0.011060767590618336
DL,190411,0.6607265874770873,0.011253767840689774,0.011475177379458119
QX,2679,0.7372210310885878,0.01160870313677537,0.011571481896229937
MQ,28128,0.7739171168852512,0.0139637371191422,0.014753981797497156
UA,143915,0.6827834573640706,0.01584670695781934,0.016342980231386584
WN,287107,0.6944726589106841,0.01629936335193158,0.017014562515020534
AA,191924,0.7811390526532864,0.016943967302813775,0.01823638523582251
G4,4738,0.615815679741849,0.017451959391452852,0.017306880540312368
AS,44562,0.5725983929195142,0.018150054181285635,0.0185808536421166
OH,28349,0.7141143656534189,0.01883623584436884,0.019753783202229355
NK,52352,0.6497688700547987,0.020504281276386527,0.02158465770171149
F9,36324,0.5923604694739145,0.022391468515619326,0.023400506552141834
B6,54345,0.7194529145182759,0.022986595529052082,0.02451007452387524
YX,60091,0.6567912825786105,0.02800305979940478,0.030520377427568187
YV,5932,0.653707457239735,0.02812380610327103,0.031186783546864463
9E,29937,0.7455738868037968,0.030977243032895285,0.03453919898453419
