Reporting_Airline,n_samples,auc,brier,prevalence
YX,113462,0.6610099483328743,0.12495898081154051,0.15796478116021223
9E,56391,0.6738029769647359,0.12678949018432634,0.16265006827330603
QX,5359,0.6286991922675065,0.13173194898110574,0.16439634260123157
OO,152392,0.6418912080887902,0.1337066779016222,0.16873589164785552
DL,366320,0.6746961519873454,0.1348145621839064,0.1684756497051758
YV,11473,0.6335194613109942,0.14107925956481682,0.17955199163252855
MQ,53663,0.6680674163859789,0.14878822279855802,0.19678363117977005
OH,54196,0.651452940116456,0.14933687875930216,0.19639825817403497
UA,275226,0.6821238774048636,0.15074192563750233,0.19947970031901055
WN,548366,0.7277837001243689,0.1600448944165772,0.22249738313462178
AS,85553,0.6088475155541013,0.1683926264340684,0.21205568478019474
HA,28782,0.6187004289338557,0.17751001925994017,0.21433534848168995
AA,365082,0.6766447360343967,0.17832704561067153,0.24076234928043563
NK,99418,0.6568390964790721,0.19483419200613536,0.26053632139049265
B6,102765,0.6844290702473719,0.20029506847852618,0.29962535882839486
G4,8960,0.6153321149687108,0.216952469503045,0.2986607142857143
F9,68935,0.6334929003018093,0.21737068167524315,0.3078697323565678
