month,method,n,joint_log_loss,multiclass_brier,argmax_accuracy
1,schedule_baseline,450194,0.5910671777716424,0.33551338798109814,0.789919456945228
1,flare24,450194,0.5575072263246796,0.3159620673107737,0.7964544174289306
1,capacity_gated_simplex,450194,0.5574928319683353,0.31596305449915507,0.7964477536350996
1,meta_current,450194,0.551699432206382,0.3149747267191562,0.7965565956010076
1,boundary_only,450194,0.5565596823890104,0.31502165045447034,0.7959657392146496
1,counterfactual_residual,450194,0.557890041312672,0.3150671328424939,0.7962833800539323
1,boundary_ensemble,450194,0.5555406942270131,0.3152670856246275,0.7962234059094524
1,boundary_gated_ensemble,450194,0.5556235010765576,0.3152659267375014,0.7962545036139975
2,schedule_baseline,420845,0.5417505368457468,0.32332733924396767,0.7873064905131343
2,flare24,420845,0.5134558010916938,0.3060841084414784,0.7940548182822654
2,capacity_gated_simplex,420845,0.5133943260081846,0.3060879035652858,0.7940358089082679
2,meta_current,420845,0.5094486333042777,0.30570495725532204,0.7940595706257648
2,boundary_only,420845,0.5128723295723038,0.3059058137093705,0.7944326295904668
2,counterfactual_residual,420845,0.5131483380092856,0.3061825474737018,0.7942092694459956
2,boundary_ensemble,420845,0.512154143240684,0.30578143442322464,0.794282930770236
2,boundary_gated_ensemble,420845,0.5121989462128896,0.30580059039616053,0.7942092694459956
3,schedule_baseline,500143,0.5216563727247917,0.31230209045837687,0.7980017714933529
3,flare24,500143,0.49344923553749204,0.2962549204219002,0.8017986855759253
3,capacity_gated_simplex,500143,0.4934312345919749,0.29624774961821215,0.8017986855759253
3,meta_current,500143,0.4922019856377874,0.2961090816165767,0.8017766918661263
3,boundary_only,500143,0.4921185031162196,0.29521591957175525,0.8027524128099364
3,counterfactual_residual,500143,0.49217079840153444,0.2952466359554963,0.8024564974417316
3,boundary_ensemble,500143,0.49218396692327526,0.29550465747337556,0.8023125386139565
3,boundary_gated_ensemble,500143,0.49216193869346925,0.29548452097187733,0.8023085397576293
4,schedule_baseline,490292,0.5082638607220263,0.3084596591580688,0.797677710425624
4,flare24,490292,0.49034821578366133,0.2979507717685585,0.801402021652403
4,capacity_gated_simplex,490292,0.49033971825096734,0.29794884418659623,0.8014061008541848
4,meta_current,490292,0.4894962672916925,0.2978708316572244,0.8013938632488394
4,boundary_only,490292,0.48941436657212195,0.29746825517589176,0.8015488729165476
4,counterfactual_residual,490292,0.4897111982649866,0.2977650648119884,0.8014142592577485
4,boundary_ensemble,490292,0.4894230618668325,0.297545960774167,0.8015243977058569
4,boundary_gated_ensemble,490292,0.48937679997720845,0.29753868441301373,0.80162229854862
5,schedule_baseline,506343,0.558710347925044,0.3485492664374887,0.7542871136759074
5,flare24,506343,0.5419003591157375,0.3359771678687511,0.7617543838860219
5,capacity_gated_simplex,506343,0.5418885412605375,0.3359778917685428,0.7617484590485106
5,meta_current,506343,0.540722916682117,0.3359674475951197,0.7617247596984653
5,boundary_only,506343,0.5396983920123455,0.33519903574005844,0.7624100659039426
5,counterfactual_residual,506343,0.540335525661719,0.3353694686436076,0.7621513479992811
5,boundary_ensemble,506343,0.5402128663756292,0.3353794266008872,0.7622876192620417
5,boundary_gated_ensemble,506343,0.5402473723460344,0.33539812496897986,0.7621947968076975
6,schedule_baseline,503142,0.6036378337727308,0.3786808890671349,0.7141721422580504
6,flare24,503142,0.5913118754790496,0.36942144439448954,0.7268544466572061
6,capacity_gated_simplex,503142,0.5913020849546115,0.36942092511774244,0.7268484841257538
6,meta_current,503142,0.5903583628805299,0.3691781876406848,0.7268743217620472
6,boundary_only,503142,0.5920613719245598,0.3690837992138806,0.7275719379419726
6,counterfactual_residual,503142,0.5910934978796514,0.369544655558419,0.726600045315239
6,boundary_ensemble,503142,0.5909694376696151,0.36903040232713497,0.7271823858870855
6,boundary_gated_ensemble,503142,0.5910907581874164,0.3690723447695844,0.7272121985443474
7,schedule_baseline,516990,0.6390773906223303,0.39302694483341033,0.7045668194742645
7,flare24,516990,0.6252127529052514,0.38358029211645744,0.716158919901739
7,capacity_gated_simplex,516990,0.6252006628154428,0.3835795843491107,0.7161415114412271
7,meta_current,516990,0.6209709082020586,0.3827112717169767,0.7164065068956846
7,boundary_only,516990,0.6262413060828111,0.3845391427483354,0.7153117081568309
7,counterfactual_residual,516990,0.6250973062642323,0.3845935918418587,0.71501383005474
7,boundary_ensemble,516990,0.6248590625577197,0.3837898265557783,0.7158687788932088
7,boundary_gated_ensemble,516990,0.6249375656566344,0.3838322642871106,0.7158823188069402
8,schedule_baseline,493937,0.5424890530956208,0.3328813774991994,0.7672051293990934
8,flare24,493937,0.5332091858133515,0.32615767469242,0.7717785871477537
8,capacity_gated_simplex,493937,0.5331960425097687,0.3261589150566582,0.771772513498685
8,meta_current,493937,0.5326255517011546,0.3261606290138656,0.7717785871477537
