candidate,task,rank,feature,importance,feature_view
boundary_only,delay,1,recent_flight_delay_excess_global_28d,5.98798646654739,other
boundary_only,delay,2,CRSDepMinutes,5.289659972719466,other
boundary_only,delay,3,DepHour_sin,4.124363507319585,other
boundary_only,delay,4,recent_route_delay_rate_7d,3.939673923900401,other
boundary_only,delay,5,DepHour,2.795352740568241,other
boundary_only,delay,6,recent_flight_delay_excess_global_7d,2.635598524695286,other
boundary_only,delay,7,flare24_origin_window_cape_max,2.356456937045032,other
boundary_only,delay,8,flare24_origin_revision_precipitation_fresh_minus_day2,2.2595723794152613,other
boundary_only,delay,9,DayOfWeek,2.237642225013736,other
boundary_only,delay,10,recent_airline_delay_rate_7d,2.1431455126467607,other
boundary_only,delay,11,recent_global_delay_support_log1p_28d,2.0236130658530977,other
boundary_only,delay,12,bcpot_full__route_max_queue_p90,1.939947512445001,boundary_full
boundary_only,delay,13,schedule_global_day_log1p,1.6572081048905491,other
boundary_only,delay,14,CRSArrMinutes,1.6300782118935433,other
boundary_only,delay,15,Reporting_Airline,1.5640041589451354,other
boundary_only,delay,16,census_schedule_global_surge_vs_90d,1.2237701783204642,other
boundary_only,delay,17,flare24_dest_arrival_humidity,1.1976772073934294,other
boundary_only,delay,18,annual_fourier_sin_12,1.164906866899571,other
boundary_only,delay,19,bcpot_full__route_max_weather_capacity_stress,1.1636006181083682,boundary_full
boundary_only,delay,20,annual_fourier_sin_6,1.0921606329380562,other
boundary_only,delay,21,annual_fourier_cos_2,1.063385803498537,other
boundary_only,delay,22,recent_flight_delay_excess_global_90d,0.9957441761936956,other
boundary_only,delay,23,annual_fourier_sin_4,0.9224039757384048,other
boundary_only,delay,24,flare24_route_corridor_proxy_precipitation_max,0.9213490382630046,other
boundary_only,delay,25,schedule_airline_network_share,0.8429431830953341,other
boundary_only,delay,26,flare24_route_corridor_proxy_convective_index_max,0.842120322284195,other
boundary_only,delay,27,recent_route_delay_rate_90d,0.8374230768617968,other
boundary_only,delay,28,ArrHour,0.7986835034645515,other
boundary_only,delay,29,flare24_dest_arrival_precipitation,0.7946020587914427,other
boundary_only,delay,30,graph_dest_partner_cancel_max_90d,0.7829553832212555,other
counterfactual_residual,delay,1,recent_flight_delay_excess_global_28d,6.041617014721343,other
counterfactual_residual,delay,2,CRSDepMinutes,5.176170555233072,other
counterfactual_residual,delay,3,DepHour_sin,4.846375440471946,other
counterfactual_residual,delay,4,recent_route_delay_rate_7d,3.8763284112820573,other
counterfactual_residual,delay,5,recent_flight_delay_excess_global_7d,2.6886001999103035,other
counterfactual_residual,delay,6,DayOfWeek,2.4526316268883495,other
counterfactual_residual,delay,7,flare24_origin_window_cape_max,2.3445456371453712,other
counterfactual_residual,delay,8,DepHour,2.2893956993371147,other
counterfactual_residual,delay,9,recent_airline_delay_rate_7d,2.2263953469827045,other
counterfactual_residual,delay,10,flare24_origin_revision_precipitation_fresh_minus_day2,2.1920710754197286,other
counterfactual_residual,delay,11,ccrth_route_max_queue_p90,2.1417399046680172,other
counterfactual_residual,delay,12,recent_global_delay_support_log1p_28d,1.8893556862836396,other
counterfactual_residual,delay,13,schedule_global_day_log1p,1.7235383071295467,other
counterfactual_residual,delay,14,Reporting_Airline,1.5547906633500774,other
counterfactual_residual,delay,15,CRSArrMinutes,1.3896960423899278,other
counterfactual_residual,delay,16,annual_fourier_sin_12,1.2398737227808998,other
counterfactual_residual,delay,17,ArrHour,1.223793936607241,other
counterfactual_residual,delay,18,flare24_dest_arrival_humidity,1.1694573170165854,other
counterfactual_residual,delay,19,annual_fourier_sin_4,1.1298167089944144,other
counterfactual_residual,delay,20,annual_fourier_sin_6,1.114882353843744,other
counterfactual_residual,delay,21,ccrth_route_max_weather_capacity_stress,1.0989052252949754,other
counterfactual_residual,delay,22,recent_flight_delay_excess_global_90d,0.9805639669984771,other
counterfactual_residual,delay,23,census_schedule_global_surge_vs_90d,0.9794828894216039,other
counterfactual_residual,delay,24,annual_fourier_cos_2,0.9311685002883424,other
counterfactual_residual,delay,25,flare24_route_corridor_proxy_precipitation_max,0.9194104491530481,other
counterfactual_residual,delay,26,flare24_route_corridor_proxy_convective_index_max,0.8625016828764444,other
counterfactual_residual,delay,27,flare24_dest_arrival_precipitation,0.8138018381391793,other
counterfactual_residual,delay,28,recent_route_delay_rate_90d,0.7949288120926634,other
counterfactual_residual,delay,29,annual_fourier_sin_1,0.7824189256934441,other
counterfactual_residual,delay,30,DayOfMonth,0.774680732166836,other
boundary_only,cancellation,1,recent_airline_cancel_rate_28d,3.3716854732124095,other
boundary_only,cancellation,2,recent_airline_delay_rate_90d,1.6213438826341822,other
boundary_only,cancellation,3,recent_global_delay_rate_7d,1.3898380043279053,other
boundary_only,cancellation,4,CRSDepMinutes,1.3484060150589676,other
boundary_only,cancellation,5,recent_airline_cancel_rate_90d,1.314351074868924,other
boundary_only,cancellation,6,recent_global_delay_momentum_7v90,1.3070832008432747,other
boundary_only,cancellation,7,annual_fourier_sin_12,1.2507964476167637,other
boundary_only,cancellation,8,recent_flight_cancel_excess_global_7d,1.23120561121849,other
boundary_only,cancellation,9,recent_global_delay_support_log1p_28d,1.1456526417480162,other
boundary_only,cancellation,10,recent_origin_inbound_cancel_rate_7d,1.0720044859742124,other
boundary_only,cancellation,11,census_schedule_global_surge_vs_7d,1.040988241130397,other
boundary_only,cancellation,12,graph_origin_cancel_max_minus_local_7d,1.0384225718113214,other
boundary_only,cancellation,13,recent_airline_cancel_momentum_7v90,1.0319074969287954,other
boundary_only,cancellation,14,census_schedule_airline_surge_vs_7d,1.017851255258026,other
boundary_only,cancellation,15,recent_airline_delay_support_log1p_28d,1.0111485519521275,other
boundary_only,cancellation,16,annual_fourier_sin_6,1.001291052225358,other
boundary_only,cancellation,17,bcpot_full__route_max_weather_capacity_stress,0.9733713445525254,boundary_full
boundary_only,cancellation,18,recent_global_delay_acceleration,0.9646855902100113,other
boundary_only,cancellation,19,recent_airline_delay_acceleration,0.9468224693596109,other
boundary_only,cancellation,20,Reporting_Airline,0.9145716599781445,other
boundary_only,cancellation,21,recent_airline_cancel_rate_7d,0.8727271517601741,other
boundary_only,cancellation,22,flare24_origin_window_cape_max,0.8657272559626272,other
boundary_only,cancellation,23,recent_dest_inbound_delay_rate_7d,0.8304343799912042,other
boundary_only,cancellation,24,DepHour,0.8124199721268025,other
boundary_only,cancellation,25,schedule_global_day_log1p,0.7883874105064205,other
boundary_only,cancellation,26,flare24_origin_revision_precipitation_fresh_minus_day2,0.7626436916760254,other
boundary_only,cancellation,27,annual_fourier_cos_6,0.7621380839205447,other
boundary_only,cancellation,28,flare24_origin_departure_humidity,0.7444516369309654,other
boundary_only,cancellation,29,recent_flight_cancel_excess_global_28d,0.7208404561586518,other
boundary_only,cancellation,30,flare24_dest_arrival_humidity,0.7133869473676926,other
counterfactual_residual,cancellation,1,recent_global_delay_rate_7d,2.4056383272043,other
counterfactual_residual,cancellation,2,recent_airline_delay_rate_90d,2.216265032645549,other
counterfactual_residual,cancellation,3,recent_global_delay_support_log1p_28d,1.8258140044110422,other
counterfactual_residual,cancellation,4,recent_airline_cancel_rate_28d,1.547459193041016,other
counterfactual_residual,cancellation,5,annual_fourier_sin_12,1.514383682259763,other
counterfactual_residual,cancellation,6,recent_airline_cancel_rate_7d,1.276632917657441,other
counterfactual_residual,cancellation,7,schedule_global_day_log1p,1.2634217264956753,other
counterfactual_residual,cancellation,8,recent_airline_delay_support_log1p_28d,1.219044676338558,other
counterfactual_residual,cancellation,9,recent_airline_cancel_rate_90d,1.1604757224709439,other
