regime,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
low,2967360,flare24,0.5418205924460391,0.0,0.329396072111212,0.0
low,2967360,raw_demand,0.541507221260781,-0.0003133711852580934,0.3299155060212905,0.0005194339100784706
low,2967360,normalized_capacity,0.5411381372021339,-0.0006824552439052001,0.32974213121618545,0.0003460591049734285
low,2967360,queue_shadow,0.5422701187350172,0.0004495262889780971,0.33006295859189017,0.0006668864806781416
low,2967360,hypergraph,0.5426953494713778,0.0008747570253386794,0.3301264712610219,0.0007303991498098794
low,2967360,global_simplex,0.5418205924454603,-5.787592627370941e-13,0.3293960721098216,-1.390443316040546e-12
low,2967360,capacity_gated_simplex,0.5418205924454603,-5.787592627370941e-13,0.3293960721098216,-1.390443316040546e-12
elevated,2207864,flare24,0.537886896498523,0.0,0.3258302405066928,0.0
elevated,2207864,raw_demand,0.5374177145144657,-0.0004691819840572098,0.32627780660448696,0.000447566097794172
elevated,2207864,normalized_capacity,0.5370665419644274,-0.0008203545340955687,0.3261588917665385,0.00032865125984571364
elevated,2207864,queue_shadow,0.5379493834731539,6.248697463095976e-05,0.3262667212219393,0.00043648071524649
elevated,2207864,hypergraph,0.5383078190984666,0.00042092259994364056,0.3263076822271156,0.00047744172042279986
elevated,2207864,global_simplex,0.5378868964993908,8.678613383494849e-13,0.325830240507476,7.832068327218167e-13
elevated,2207864,capacity_gated_simplex,0.5378868964993908,8.678613383494849e-13,0.325830240507476,7.832068327218167e-13
severe,579042,flare24,0.5345221261612172,0.0,0.32134407562742645,0.0
severe,579042,raw_demand,0.5340028756167342,-0.0005192505444829854,0.32179950077600306,0.00045542514857660477
severe,579042,normalized_capacity,0.5335753323671657,-0.0009467937940514926,0.32168915969923,0.0003450840718035586
severe,579042,queue_shadow,0.5345514186869068,2.9292525689617044e-05,0.32166036318338787,0.0003162875559614142
severe,579042,hypergraph,0.5347701676514729,0.00024804149025570155,0.321607745881,0.0002636702535735447
severe,579042,global_simplex,0.534522126166357,5.139777492502162e-12,0.3213440756319213,4.494848937497409e-12
severe,579042,capacity_gated_simplex,0.5343486521180719,-0.00017347404314527193,0.3213363129961833,-7.762631243135587e-06
