feature,nonmissing_fraction,used_by_flare24,used_by_hypergraph,used_by_normalized_capacity,used_by_queue_shadow,used_by_raw_demand
ccrth_dest_airport_annual_operations_log1p,0.0,False,False,False,False,False
ccrth_dest_arrival_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_dest_arrival_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_dest_arrival_demand_30m_log1p,1.0,False,True,True,True,True
ccrth_dest_arrival_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_dest_burstiness_15_to_60,1.0,False,True,True,True,True
ccrth_dest_capacity_scenario_constrained_probability,1.0,False,True,True,True,False
ccrth_dest_capacity_scenario_good_probability,1.0,False,True,True,True,False
ccrth_dest_capacity_scenario_marginal_probability,1.0,False,True,True,True,False
ccrth_dest_departure_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_dest_departure_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_dest_departure_demand_30m_log1p,1.0,False,True,True,True,True
ccrth_dest_departure_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_dest_direction_frontier_p50,1.0,False,True,True,True,False
ccrth_dest_direction_frontier_p75,1.0,False,True,True,True,False
ccrth_dest_direction_frontier_p90,1.0,False,True,True,True,False
ccrth_dest_direction_utilization,1.0,False,True,True,True,False
ccrth_dest_eligible_runway_end_count,1.0,False,True,True,True,True
ccrth_dest_expected_direction_capacity,1.0,False,True,True,True,False
ccrth_dest_expected_movement_capacity,1.0,False,True,True,True,False
ccrth_dest_expected_queue,1.0,False,True,False,True,False
ccrth_dest_expected_slack,1.0,False,True,True,True,False
ccrth_dest_flow_imbalance_60m,1.0,False,True,True,True,True
ccrth_dest_historical_frontier_observed_fraction,1.0,False,True,True,True,False
ccrth_dest_historical_frontier_support_days_log1p,1.0,False,True,True,True,False
ccrth_dest_ils_end_fraction,1.0,False,True,True,True,True
ccrth_dest_marginal_overload,1.0,False,True,False,True,False
ccrth_dest_max_parallel_runways,1.0,False,True,True,True,True
ccrth_dest_maximum_runway_length_kft,1.0,False,True,True,True,True
ccrth_dest_metro_movement_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_dest_metro_queue,1.0,False,True,True,True,False
ccrth_dest_metro_utilization,1.0,False,True,True,True,False
ccrth_dest_minimum_runway_length_kft,1.0,False,True,True,True,True
ccrth_dest_minutes_since_previous_same_direction_log1p,1.0,False,True,True,True,True
ccrth_dest_minutes_until_next_same_direction_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_demand_30m_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_frontier_p50,1.0,False,True,True,True,False
ccrth_dest_movement_frontier_p75,1.0,False,True,True,True,False
ccrth_dest_movement_frontier_p90,1.0,False,True,True,True,False
ccrth_dest_movement_loo_30m_log1p,1.0,False,True,True,True,True
ccrth_dest_movement_utilization,1.0,False,True,True,True,False
ccrth_dest_optional_constraint_available,1.0,False,False,False,False,False
ccrth_dest_optional_constraint_overload_probability,0.0,False,False,False,False,False
ccrth_dest_orientation_family_count,1.0,False,True,True,True,True
ccrth_dest_overload_probability,1.0,False,True,True,True,False
ccrth_dest_physical_runway_count,1.0,False,True,True,True,True
ccrth_dest_queue_p90,1.0,False,True,False,True,False
ccrth_dest_recovery_minutes,1.0,False,True,False,True,False
ccrth_dest_runway_catalog_missing,1.0,False,False,False,False,False
ccrth_dest_runway_configuration_entropy,1.0,False,True,True,True,False
ccrth_dest_runway_effective_end_count,1.0,False,True,True,True,False
ccrth_dest_runway_feasible_end_fraction,0.9758039587291023,False,True,True,True,False
ccrth_dest_same_direction_loo_30m_log1p,1.0,False,True,True,True,True
ccrth_dest_shadow_price,1.0,False,True,False,True,False
ccrth_dest_weather_capacity_stress,0.9758108469065153,False,True,True,True,False
ccrth_origin_airport_annual_operations_log1p,0.0,False,False,False,False,False
ccrth_origin_arrival_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_origin_arrival_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_origin_arrival_demand_30m_log1p,1.0,False,True,True,True,True
ccrth_origin_arrival_demand_60m_log1p,1.0,False,True,True,True,True
ccrth_origin_burstiness_15_to_60,1.0,False,True,True,True,True
ccrth_origin_capacity_scenario_constrained_probability,1.0,False,True,True,True,False
ccrth_origin_capacity_scenario_good_probability,1.0,False,True,True,True,False
ccrth_origin_capacity_scenario_marginal_probability,1.0,False,True,True,True,False
ccrth_origin_departure_demand_120m_log1p,1.0,False,True,True,True,True
ccrth_origin_departure_demand_15m_log1p,1.0,False,True,True,True,True
ccrth_origin_departure_demand_30m_log1p,1.0,False,True,True,True,True
