regime,task,candidate,weight,rows,fallback_to_global
global,cancellation,flare24,0.4323887188145372,1242515,False
global,cancellation,raw_demand,0.0,1242515,False
global,cancellation,normalized_capacity,1.4085183824949672e-16,1242515,False
global,cancellation,queue_shadow,0.5500040232645679,1242515,False
global,cancellation,hypergraph,0.017607257920894875,1242515,False
global,delay_given_operated,flare24,0.9999999999999997,1235756,False
global,delay_given_operated,raw_demand,1.3877787807814454e-16,1235756,False
global,delay_given_operated,normalized_capacity,0.0,1235756,False
global,delay_given_operated,queue_shadow,1.4733377007899567e-16,1235756,False
global,delay_given_operated,hypergraph,0.0,1235756,False
low,cancellation,flare24,0.48528232101857105,621258,False
low,cancellation,raw_demand,0.0,621258,False
low,cancellation,normalized_capacity,9.630228852770588e-17,621258,False
low,cancellation,queue_shadow,0.5147176789814286,621258,False
low,cancellation,hypergraph,2.2130926339622468e-16,621258,False
low,delay_given_operated,flare24,1.0,618079,False
low,delay_given_operated,raw_demand,4.163336342344337e-17,618079,False
low,delay_given_operated,normalized_capacity,6.264029719577578e-17,618079,False
low,delay_given_operated,queue_shadow,1.9262761766192396e-17,618079,False
low,delay_given_operated,hypergraph,1.6623804782383837e-17,618079,False
elevated,cancellation,flare24,0.4260547469509145,497005,False
elevated,cancellation,raw_demand,1.3968420333170667e-17,497005,False
elevated,cancellation,normalized_capacity,3.065221653700181e-17,497005,False
elevated,cancellation,queue_shadow,0.5209312905808051,497005,False
elevated,cancellation,hypergraph,0.05301396246828038,497005,False
elevated,delay_given_operated,flare24,1.0,494155,False
elevated,delay_given_operated,raw_demand,0.0,494155,False
elevated,delay_given_operated,normalized_capacity,1.0262139094276163e-16,494155,False
elevated,delay_given_operated,queue_shadow,0.0,494155,False
elevated,delay_given_operated,hypergraph,2.0864479163568948e-17,494155,False
severe,cancellation,flare24,0.20682840283449627,124252,False
severe,cancellation,raw_demand,8.673617379884034e-19,124252,False
severe,cancellation,normalized_capacity,0.0,124252,False
severe,cancellation,queue_shadow,0.6809321255763158,124252,False
severe,cancellation,hypergraph,0.11223947158918793,124252,False
severe,delay_given_operated,flare24,0.9999999999999996,123522,False
severe,delay_given_operated,raw_demand,0.0,123522,False
severe,delay_given_operated,normalized_capacity,0.0,123522,False
severe,delay_given_operated,queue_shadow,0.0,123522,False
severe,delay_given_operated,hypergraph,4.4341142258970224e-16,123522,False
missing,cancellation,flare24,0.4323887188145372,0,True
missing,cancellation,raw_demand,0.0,0,True
missing,cancellation,normalized_capacity,1.4085183824949672e-16,0,True
missing,cancellation,queue_shadow,0.5500040232645679,0,True
missing,cancellation,hypergraph,0.017607257920894875,0,True
missing,delay_given_operated,flare24,0.9999999999999997,0,True
missing,delay_given_operated,raw_demand,1.3877787807814454e-16,0,True
missing,delay_given_operated,normalized_capacity,0.0,0,True
missing,delay_given_operated,queue_shadow,1.4733377007899567e-16,0,True
missing,delay_given_operated,hypergraph,0.0,0,True
