month,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
1,419786,flare24,0.5663813607221834,0.0,0.32022595873773557,0.0
1,419786,tf_ccrth_cancellation_logit_stack,0.5601483048839001,-0.0062330558382832635,0.31916515183907135,-0.0010608068986642238
2,420845,flare24,0.5134558010880698,0.0,0.30608410843832345,0.0
2,420845,tf_ccrth_cancellation_logit_stack,0.5094486333042777,-0.004007167783792065,0.30570495725532204,-0.0003791511830014138
3,500143,flare24,0.49344923554062936,0.0,0.2962549204247894,0.0
3,500143,tf_ccrth_cancellation_logit_stack,0.4922019856377874,-0.0012472499028419737,0.2961090816165767,-0.0001458388082127282
4,490292,flare24,0.49034821578458465,0.0,0.29795077176854856,0.0
4,490292,tf_ccrth_cancellation_logit_stack,0.4894962672916925,-0.0008519484928921628,0.2978708316572244,-7.994011132417267e-05
5,506343,flare24,0.5419003591195537,0.0,0.3359771678689404,0.0
5,506343,tf_ccrth_cancellation_logit_stack,0.540722916682117,-0.001177442437436671,0.3359674475951197,-9.720273820679193e-06
6,503142,flare24,0.5913118754820262,0.0,0.36942144439488916,0.0
6,503142,tf_ccrth_cancellation_logit_stack,0.5903583628805299,-0.0009535126014963424,0.3691781876406848,-0.00024325675420439064
7,516990,flare24,0.6252127529002426,0.0,0.3835802921131647,0.0
7,516990,tf_ccrth_cancellation_logit_stack,0.6209709082020586,-0.004241844698184005,0.3827112717169767,-0.0008690203961879694
8,493937,flare24,0.5332091858110775,0.0,0.32615767469142426,0.0
8,493937,tf_ccrth_cancellation_logit_stack,0.5326255517011546,-0.0005836341099229037,0.3261606290138656,2.954322441350854e-06
9,465892,flare24,0.4463131984634344,0.0,0.2664585636852246,0.0
9,465892,tf_ccrth_cancellation_logit_stack,0.44616340796415094,-0.00014979049928348642,0.2664539027304055,-4.6609548191023364e-06
10,504945,flare24,0.4929113185296737,0.0,0.305619704941376,0.0
10,504945,tf_ccrth_cancellation_logit_stack,0.4919389747218573,-0.000972343807816356,0.30548024596363427,-0.00013945897774175764
11,477509,flare24,0.5710495771325195,0.0,0.3330016281831696,0.0
11,477509,tf_ccrth_cancellation_logit_stack,0.5658522794016071,-0.005197297730912376,0.3324738974771649,-0.0005277307060047032
12,454442,flare24,0.6069100595016541,0.0,0.3796552209335291,0.0
12,454442,tf_ccrth_cancellation_logit_stack,0.6053382754434287,-0.001571784058225445,0.3793244253939571,-0.00033079553957199304
