airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
ABQ,0.4547391485759835,0.0,flare24,0.2659949173690749,0.0,24880,origin
ALB,0.541450832230202,0.0,flare24,0.3222984582808111,0.0,11939,origin
ANC,0.471305431029489,0.0,flare24,0.2777806669360271,0.0,12629,origin
ATL,0.5689937035841213,0.0,flare24,0.34801442437158026,0.0,266525,origin
AUS,0.5248681937482254,0.0,flare24,0.32264224045578616,0.0,82370,origin
BDL,0.5266984560190713,0.0,flare24,0.31728859813061694,0.0,22764,origin
BHM,0.5213088651089082,0.0,flare24,0.30464198125246794,0.0,16638,origin
BNA,0.5317166176376346,0.0,flare24,0.3248059993925378,0.0,99747,origin
BOI,0.42327072064309584,0.0,flare24,0.25163568585941315,0.0,23112,origin
BOS,0.5624038262771728,0.0,flare24,0.3435720568009672,0.0,138336,origin
BUF,0.5395307247617599,0.0,flare24,0.3227528180218682,0.0,20374,origin
BUR,0.4838082725737332,0.0,flare24,0.27898613835526426,0.0,29719,origin
BWI,0.5326638890471528,0.0,flare24,0.3219904269132631,0.0,90284,origin
CHS,0.5556672876002355,0.0,flare24,0.32667146793006474,0.0,24294,origin
CLE,0.5218569340266922,0.0,flare24,0.3088654322168313,0.0,39356,origin
CLT,0.5774936511455094,0.0,flare24,0.3539407900400347,0.0,158932,origin
CMH,0.513881216776915,0.0,flare24,0.3071722388428028,0.0,43587,origin
COS,0.5489520464219498,0.0,flare24,0.3318286939063941,0.0,13037,origin
CVG,0.5427690994430655,0.0,flare24,0.3268931812797868,0.0,30824,origin
DAL,0.5576852080957126,0.0,flare24,0.3402445748085432,0.0,65842,origin
DAY,0.5531692866625081,0.0,flare24,0.3229868400781443,0.0,7562,origin
DCA,0.6589368491263597,0.0,flare24,0.394162464100915,0.0,127289,origin
DEN,0.543582136911025,0.0,flare24,0.3432494709109842,0.0,243152,origin
DFW,0.6691422083084011,0.0,flare24,0.4093063299765661,0.0,221410,origin
DSM,0.5430514998276239,0.0,flare24,0.31823022346445573,0.0,13622,origin
DTW,0.5244095012350772,0.0,flare24,0.3198644831531802,0.0,108498,origin
ELP,0.47536331824781514,0.0,flare24,0.2786077623407923,0.0,16763,origin
EWR,0.6136315584439139,0.0,flare24,0.3696137050749509,0.0,113771,origin
FAT,0.4775796321228269,0.0,flare24,0.28601574123663137,0.0,13175,origin
FLL,0.5539263645684004,0.0,flare24,0.3402306430632451,0.0,81633,origin
GEG,0.427151412252974,0.0,flare24,0.2532232614470042,0.0,17884,origin
GRR,0.5431526828676023,0.0,flare24,0.32802477919644407,0.0,16731,origin
GSO,0.535649969240551,0.0,flare24,0.3049985592796159,0.0,10163,origin
GSP,0.5113681395772559,0.0,flare24,0.29613942077920996,0.0,13691,origin
HNL,0.432655145362015,0.0,flare24,0.24788051865582184,0.0,51232,origin
HOU,0.519095993072616,0.0,flare24,0.3143295317085838,0.0,50539,origin
HPN,0.5824049354166818,0.0,flare24,0.3446744739109619,0.0,10381,origin
IAD,0.5098765579816444,0.0,flare24,0.3101843041909997,0.0,54506,origin
IAH,0.545921558188833,0.0,flare24,0.333253220345704,0.0,107923,origin
ICT,0.5841715424647606,0.0,flare24,0.3476986349267584,0.0,10780,origin
IND,0.507265534457869,0.0,flare24,0.3003649659468296,0.0,45448,origin
JAX,0.5206420278236358,0.0,flare24,0.3057585610779898,0.0,27657,origin
JFK,0.5857958858058293,0.0,flare24,0.35683693771259556,0.0,100462,origin
KOA,0.4063333812057879,0.0,flare24,0.2232163255765569,0.0,15585,origin
LAS,0.5079750901522856,0.0,flare24,0.3110730968580762,0.0,173080,origin
LAX,0.4689016860233041,0.0,flare24,0.27992445693005386,0.0,178888,origin
LGA,0.630617954664279,0.0,flare24,0.3822700389919737,0.0,129295,origin
LGB,0.39818217923698906,0.0,flare24,0.22907641654319355,0.0,16513,origin
LIH,0.42749609105561287,0.0,flare24,0.2397257849519865,0.0,15466,origin
LIT,0.5610003181308105,0.0,flare24,0.33489169182962164,0.0,12520,origin
MAF,0.5047440626453433,0.0,flare24,0.29414418709214446,0.0,9750,origin
MCI,0.5244089559215455,0.0,flare24,0.3153959477090536,0.0,47217,origin
MCO,0.5395574390607691,0.0,flare24,0.3329011199387227,0.0,150588,origin
MDW,0.5230642382669278,0.0,flare24,0.31998152873120045,0.0,71497,origin
MEM,0.5273197435670853,0.0,flare24,0.3130702604534867,0.0,23500,origin
MIA,0.5856235011621921,0.0,flare24,0.3659705150044233,0.0,104569,origin
MKE,0.5272296374888354,0.0,flare24,0.3148383940623176,0.0,27310,origin
MSN,0.5332153532028651,0.0,flare24,0.3166181370733312,0.0,12612,origin
MSP,0.5013844453460171,0.0,flare24,0.3064898800137322,0.0,91402,origin
MSY,0.5489042597709803,0.0,flare24,0.32808512263910666,0.0,50424,origin
MYR,0.5581467813385593,0.0,flare24,0.3268540428931823,0.0,12929,origin
OAK,0.4429411760620028,0.0,flare24,0.26388415844482627,0.0,33273,origin
OGG,0.4292713799207625,0.0,flare24,0.24234552681527996,0.0,24858,origin
OKC,0.5271372170785775,0.0,flare24,0.31576635230631817,0.0,23776,origin
OMA,0.49563043289380593,0.0,flare24,0.29310353063554717,0.0,23836,origin
ONT,0.4569323270688507,0.0,flare24,0.2682762687914452,0.0,25833,origin
ORD,0.5818815622975493,0.0,flare24,0.35904125402067105,0.0,257943,origin
ORF,0.5610732829635092,0.0,flare24,0.3313159867185573,0.0,19573,origin
PBI,0.5712066011153233,0.0,flare24,0.3497879291222942,0.0,28349,origin
PDX,0.47632454931865914,0.0,flare24,0.2843333313423985,0.0,58871,origin
PHL,0.6067626565191887,0.0,flare24,0.3721822830653425,0.0,92497,origin
PHX,0.5019223558490893,0.0,flare24,0.3060362694923316,0.0,175652,origin
PIT,0.4940496552935511,0.0,flare24,0.29147148924717964,0.0,41531,origin
PNS,0.5485633237956008,0.0,flare24,0.3161851472603354,0.0,13723,origin
PSP,0.481098535146501,0.0,flare24,0.29138032562037086,0.0,14520,origin
PVD,0.5453741248894629,0.0,flare24,0.324949547593434,0.0,15164,origin
PWM,0.5526377802752377,0.0,flare24,0.32775150456538654,0.0,10630,origin
RDU,0.5264903167147137,0.0,flare24,0.3129808259291479,0.0,54711,origin
RIC,0.5520792823898417,0.0,flare24,0.3292918146375077,0.0,17525,origin
RNO,0.48625823720512823,0.0,flare24,0.2858139577736309,0.0,20662,origin
ROC,0.5642235097056145,0.0,flare24,0.3385994829700264,0.0,9914,origin
RSW,0.5158146150540829,0.0,flare24,0.30963696588066597,0.0,33899,origin
SAN,0.5368487596829172,0.0,flare24,0.3264659505786397,0.0,92521,origin
SAT,0.4768653204581201,0.0,flare24,0.28027508345833546,0.0,41253,origin
SAV,0.5539793560852211,0.0,flare24,0.3246695313962724,0.0,18659,origin
SDF,0.5239422080367908,0.0,flare24,0.30458642327882307,0.0,22203,origin
SEA,0.5345771276124484,0.0,flare24,0.3308885232307811,0.0,145024,origin
SFO,0.49754262871762917,0.0,flare24,0.3029534837549573,0.0,130201,origin
SJC,0.4334654276032315,0.0,flare24,0.2550945876549718,0.0,45114,origin
SJU,0.5295936135656099,0.0,flare24,0.32540760980598415,0.0,34352,origin
SLC,0.4570842477427758,0.0,flare24,0.2737914502085928,0.0,95416,origin
SMF,0.45178012083924995,0.0,flare24,0.26927320279256034,0.0,56514,origin
SNA,0.4901425011695279,0.0,flare24,0.2900671859570848,0.0,42958,origin
STL,0.5195461024873285,0.0,flare24,0.3141125731453776,0.0,62551,origin
SYR,0.5863346807059772,0.0,flare24,0.3503450954926907,0.0,9782,origin
TPA,0.5267219897895116,0.0,flare24,0.3205914526841755,0.0,77003,origin
TUL,0.5256626359728642,0.0,flare24,0.3079823425667503,0.0,18006,origin
TUS,0.44277149518518844,0.0,flare24,0.2556835392529028,0.0,19884,origin
TYS,0.5861770286629611,0.0,flare24,0.352775096560051,0.0,11396,origin
XNA,0.5666833558273796,0.0,flare24,0.3370547203866318,0.0,12083,origin
ABQ,0.45474841218861384,9.263612630316942e-06,capacity_gated_simplex,0.26600289706976166,7.979700686777669e-06,24880,origin
ALB,0.5413236537075794,-0.0001271785226225619,capacity_gated_simplex,0.32229633441946687,-2.1238613442386978e-06,11939,origin
ANC,0.4712758518482462,-2.9579181242800345e-05,capacity_gated_simplex,0.2777647657012438,-1.5901234783288754e-05,12629,origin
ATL,0.5689906566896371,-3.0468944841599566e-06,capacity_gated_simplex,0.34801189118573095,-2.5331858493071735e-06,266525,origin
AUS,0.5248633749519087,-4.818796316641283e-06,capacity_gated_simplex,0.3226404232902799,-1.8171655062348968e-06,82370,origin
BDL,0.5266323064106235,-6.614960844775197e-05,capacity_gated_simplex,0.31728203108398045,-6.56704663648533e-06,22764,origin
BHM,0.5212558022010766,-5.30629078315803e-05,capacity_gated_simplex,0.30463591199329965,-6.069259168295371e-06,16638,origin
BNA,0.5317073330901528,-9.284547481724914e-06,capacity_gated_simplex,0.3248047161737309,-1.2832188068800932e-06,99747,origin
BOI,0.42327674570159807,6.025058502223679e-06,capacity_gated_simplex,0.2516459345174124,1.0248657999256672e-05,23112,origin
BOS,0.5623973195372497,-6.506739923084481e-06,capacity_gated_simplex,0.3435696093964244,-2.4474045428046765e-06,138336,origin
BUF,0.5395099350339073,-2.0789727852577045e-05,capacity_gated_simplex,0.32274718893342175,-5.629088446479358e-06,20374,origin
BUR,0.483801970535479,-6.302038254191178e-06,capacity_gated_simplex,0.278988371208791,2.232853526740186e-06,29719,origin
BWI,0.5326662327092982,2.3436621454653306e-06,capacity_gated_simplex,0.32199678726021846,6.3603469553918934e-06,90284,origin
CHS,0.5556349104592055,-3.237714102999334e-05,capacity_gated_simplex,0.32666996860543085,-1.4993246338912414e-06,24294,origin
CLE,0.5218235041351548,-3.34298915374287e-05,capacity_gated_simplex,0.3088590745103665,-6.35770646484346e-06,39356,origin
CLT,0.5774557736623338,-3.787748317563011e-05,capacity_gated_simplex,0.35393753690006574,-3.2531399689617047e-06,158932,origin
CMH,0.5138554416923683,-2.5775084546708626e-05,capacity_gated_simplex,0.30716565359824055,-6.5852445622627265e-06,43587,origin
COS,0.5489299280115443,-2.2118410405558286e-05,capacity_gated_simplex,0.33185769789137215,2.9003984978070996e-05,13037,origin
CVG,0.5427398258864411,-2.9273556624409558e-05,capacity_gated_simplex,0.32689135637076316,-1.82490902361776e-06,30824,origin
DAL,0.557681091427667,-4.116668045672789e-06,capacity_gated_simplex,0.3402502562948681,5.6814863249043945e-06,65842,origin
DAY,0.5529988185227832,-0.0001704681397248775,capacity_gated_simplex,0.32298089765689925,-5.94242124507538e-06,7562,origin
