airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
ABQ,0.4547391485520762,0.0,flare24,0.2659949173563371,0.0,24880,origin
ALB,0.541450832207082,0.0,flare24,0.32229845825135117,0.0,11939,origin
ANC,0.4713054309888251,0.0,flare24,0.2777806669132385,0.0,12629,origin
ATL,0.5689937035860398,0.0,flare24,0.3480144243737927,0.0,266525,origin
AUS,0.5248681937769082,0.0,flare24,0.3226422404764544,0.0,82370,origin
BDL,0.5266984560462329,0.0,flare24,0.31728859815524363,0.0,22764,origin
BHM,0.521308865136782,0.0,flare24,0.3046419812685812,0.0,16638,origin
BNA,0.5317166176165948,0.0,flare24,0.3248059993756918,0.0,99747,origin
BOI,0.4232707206521982,0.0,flare24,0.25163568586344975,0.0,23112,origin
BOS,0.5624038262825618,0.0,flare24,0.3435720568038273,0.0,138336,origin
BUF,0.5395307247477443,0.0,flare24,0.32275281801374633,0.0,20374,origin
BUR,0.48380827257540276,0.0,flare24,0.2789861383521689,0.0,29719,origin
BWI,0.5326638890473109,0.0,flare24,0.32199042691304136,0.0,90284,origin
CHS,0.555667287584957,0.0,flare24,0.32667146791995305,0.0,24294,origin
CLE,0.521856934067496,0.0,flare24,0.30886543224739876,0.0,39356,origin
CLT,0.5774936511593729,0.0,flare24,0.3539407900498242,0.0,158932,origin
CMH,0.5138812167721603,0.0,flare24,0.30717223884319345,0.0,43587,origin
COS,0.5489520464144585,0.0,flare24,0.33182869389339587,0.0,13037,origin
CVG,0.5427690994320069,0.0,flare24,0.3268931812702224,0.0,30824,origin
DAL,0.5576852081085695,0.0,flare24,0.34024457482114273,0.0,65842,origin
DAY,0.5531692867056323,0.0,flare24,0.32298684012117557,0.0,7562,origin
DCA,0.6589368491178706,0.0,flare24,0.3941624640934497,0.0,127289,origin
DEN,0.5435821368969723,0.0,flare24,0.34324947089931507,0.0,243152,origin
DFW,0.6691422083091456,0.0,flare24,0.4093063299797319,0.0,221410,origin
DSM,0.5430514998219217,0.0,flare24,0.31823022345039764,0.0,13622,origin
DTW,0.5244095012184029,0.0,flare24,0.31986448314106575,0.0,108498,origin
ELP,0.4753633182478611,0.0,flare24,0.27860776233703316,0.0,16763,origin
EWR,0.613631558454157,0.0,flare24,0.36961370507769437,0.0,113771,origin
FAT,0.47757963214300797,0.0,flare24,0.28601574124606344,0.0,13175,origin
FLL,0.5539263645534543,0.0,flare24,0.34023064305260364,0.0,81633,origin
GEG,0.42715141227269426,0.0,flare24,0.2532232614690761,0.0,17884,origin
GRR,0.5431526828487077,0.0,flare24,0.3280247791792268,0.0,16731,origin
GSO,0.5356499692625238,0.0,flare24,0.3049985593137581,0.0,10163,origin
GSP,0.5113681395438978,0.0,flare24,0.29613942075755817,0.0,13691,origin
HNL,0.43265514536466676,0.0,flare24,0.2478805186578144,0.0,51232,origin
HOU,0.5190959930789468,0.0,flare24,0.31432953171030553,0.0,50539,origin
HPN,0.5824049354145441,0.0,flare24,0.3446744739049292,0.0,10381,origin
IAD,0.5098765579732857,0.0,flare24,0.3101843041834155,0.0,54506,origin
IAH,0.5459215581970606,0.0,flare24,0.3332532203506517,0.0,107923,origin
ICT,0.5841715424799324,0.0,flare24,0.3476986349325839,0.0,10780,origin
IND,0.507265534463312,0.0,flare24,0.3003649659517025,0.0,45448,origin
JAX,0.5206420278564712,0.0,flare24,0.30575856109909455,0.0,27657,origin
JFK,0.5857958857992233,0.0,flare24,0.3568369377099565,0.0,100462,origin
KOA,0.40633338118367446,0.0,flare24,0.22321632556030163,0.0,15585,origin
LAS,0.507975090156806,0.0,flare24,0.311073096860911,0.0,173080,origin
LAX,0.4689016860257743,0.0,flare24,0.2799244569317127,0.0,178888,origin
LGA,0.6306179546563978,0.0,flare24,0.3822700389825935,0.0,129295,origin
LGB,0.39818217921481475,0.0,flare24,0.22907641652773783,0.0,16513,origin
LIH,0.4274960910551241,0.0,flare24,0.23972578495102662,0.0,15466,origin
LIT,0.5610003181180504,0.0,flare24,0.3348916918362927,0.0,12520,origin
MAF,0.5047440626579358,0.0,flare24,0.29414418710884155,0.0,9750,origin
MCI,0.5244089559288492,0.0,flare24,0.31539594771850027,0.0,47217,origin
MCO,0.5395574390816215,0.0,flare24,0.33290111995862537,0.0,150588,origin
MDW,0.5230642382533037,0.0,flare24,0.3199815287153167,0.0,71497,origin
MEM,0.5273197435923322,0.0,flare24,0.3130702604762553,0.0,23500,origin
MIA,0.5856235011745701,0.0,flare24,0.36597051501239897,0.0,104569,origin
MKE,0.5272296374683202,0.0,flare24,0.3148383940524428,0.0,27310,origin
MSN,0.5332153532224463,0.0,flare24,0.3166181370833906,0.0,12612,origin
MSP,0.5013844453413204,0.0,flare24,0.3064898800104582,0.0,91402,origin
MSY,0.5489042597587389,0.0,flare24,0.32808512263017126,0.0,50424,origin
MYR,0.5581467813516441,0.0,flare24,0.326854042920443,0.0,12929,origin
OAK,0.44294117608141365,0.0,flare24,0.26388415845868957,0.0,33273,origin
OGG,0.42927137991859016,0.0,flare24,0.2423455268154088,0.0,24858,origin
OKC,0.5271372170765638,0.0,flare24,0.31576635231190076,0.0,23776,origin
OMA,0.49563043290633974,0.0,flare24,0.29310353063695355,0.0,23836,origin
ONT,0.45693232703410713,0.0,flare24,0.2682762687668106,0.0,25833,origin
ORD,0.5818815622995355,0.0,flare24,0.359041254023636,0.0,257943,origin
ORF,0.5610732829540935,0.0,flare24,0.3313159867100813,0.0,19573,origin
PBI,0.5712066011042236,0.0,flare24,0.34978792910881007,0.0,28349,origin
PDX,0.4763245493224944,0.0,flare24,0.2843333313434291,0.0,58871,origin
PHL,0.6067626565107237,0.0,flare24,0.3721822830582493,0.0,92497,origin
PHX,0.5019223558454902,0.0,flare24,0.30603626948971485,0.0,175652,origin
PIT,0.49404965529211864,0.0,flare24,0.2914714892461067,0.0,41531,origin
PNS,0.5485633237923039,0.0,flare24,0.31618514725811653,0.0,13723,origin
PSP,0.48109853513719747,0.0,flare24,0.29138032561222876,0.0,14520,origin
PVD,0.545374124935142,0.0,flare24,0.32494954763226797,0.0,15164,origin
PWM,0.5526377802491578,0.0,flare24,0.3277515045444651,0.0,10630,origin
RDU,0.5264903167112968,0.0,flare24,0.3129808259230453,0.0,54711,origin
RIC,0.552079282383931,0.0,flare24,0.32929181463190244,0.0,17525,origin
RNO,0.4862582372174902,0.0,flare24,0.2858139577879555,0.0,20662,origin
ROC,0.5642235096774821,0.0,flare24,0.3385994829390298,0.0,9914,origin
RSW,0.5158146150519235,0.0,flare24,0.3096369658757745,0.0,33899,origin
SAN,0.5368487596895037,0.0,flare24,0.3264659505743784,0.0,92521,origin
SAT,0.4768653204505187,0.0,flare24,0.28027508345221586,0.0,41253,origin
SAV,0.5539793560704633,0.0,flare24,0.32466953139203697,0.0,18659,origin
SDF,0.5239422080658771,0.0,flare24,0.3045864233045665,0.0,22203,origin
SEA,0.5345771276081122,0.0,flare24,0.3308885232252417,0.0,145024,origin
