month,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
1,419786,flare24,0.566381360723839,0.0,0.32022595873843096,0.0
1,419786,capacity_gated_simplex,0.5663663105982243,-1.505012561475727e-05,0.32022764245082896,1.6837123980040225e-06
1,419786,task_factorized_global_q4,0.5655636286436204,-0.000817732080218625,0.3201417752145424,-8.41835238885591e-05
1,419786,task_factorized_capacity_gated_q4,0.5656447186760107,-0.0007366420478283064,0.32015156937734746,-7.438936108350447e-05
1,419786,cancel_normalized_capacity__delay_flare24,0.563538007461032,-0.002843353262807047,0.3200721637625719,-0.0001537949758590451
2,420845,flare24,0.5134558010916938,0.0,0.3060841084414784,0.0
2,420845,capacity_gated_simplex,0.5133943260081846,-6.147508350917708e-05,0.3060879035652858,3.795123807437406e-06
2,420845,task_factorized_global_q4,0.5116339333593584,-0.0018218677323353916,0.3059875120206571,-9.659642082127107e-05
2,420845,task_factorized_capacity_gated_q4,0.5115885773533562,-0.0018672237383375867,0.30598147367853246,-0.000102634762945919
2,420845,cancel_normalized_capacity__delay_flare24,0.5098241253167746,-0.0036316757749191853,0.3057495402652319,-0.00033456817624649693
3,500143,flare24,0.49344923553749204,0.0,0.2962549204219002,0.0
3,500143,capacity_gated_simplex,0.4934312345919749,-1.8000945517127054e-05,0.29624774961821215,-7.1708036880613335e-06
3,500143,task_factorized_global_q4,0.49324752670885375,-0.00020170882863829176,0.2962473813691744,-7.539052725824558e-06
3,500143,task_factorized_capacity_gated_q4,0.49325031490803917,-0.00019892062945287003,0.2962473052528135,-7.615169086705453e-06
3,500143,cancel_normalized_capacity__delay_flare24,0.4932266876536294,-0.0002225478838626116,0.2962179192375329,-3.700118436733568e-05
4,490292,flare24,0.49034821578366133,0.0,0.2979507717685585,0.0
4,490292,capacity_gated_simplex,0.49033971825096734,-8.497532693996224e-06,0.29794884418659623,-1.9275819622688317e-06
4,490292,task_factorized_global_q4,0.48990478405685967,-0.00044343172680166854,0.297915926583445,-3.4845185113485666e-05
