flight_candidate,task,calibration_method,selected,pooled_rows,pooled_log_loss,pooled_brier
baseline,delay,identity,True,1235756,0.430885332597085,0.13333750136484684
baseline,delay,intercept,False,1235756,0.4318223087228101,0.13365862290472044
baseline,delay,platt,False,1235756,0.43189443835590274,0.13355250943722047
baseline,delay,beta,False,1235756,0.4319133513760126,0.13354443296240684
baseline,delay,isotonic,False,1235756,0.4321630971163128,0.13356741903068906
baseline,cancellation,identity,True,1242515,0.024055836776053496,0.0038411360309998743
baseline,cancellation,intercept,False,1242515,0.026689941946523105,0.0039355106908904244
baseline,cancellation,platt,False,1242515,0.02690195344204611,0.003942792497790005
baseline,cancellation,beta,False,1242515,0.026899232881090987,0.003942122102142071
baseline,cancellation,isotonic,False,1242515,0.02686702175726915,0.003933030527384543
weather,delay,identity,True,1235756,0.4225369342818272,0.13039167214675862
weather,delay,intercept,False,1235756,0.4248741463370731,0.13123360374087575
weather,delay,platt,False,1235756,0.4245530398640471,0.13090590138966285
weather,delay,beta,False,1235756,0.4243700291404819,0.1307974146005822
weather,delay,isotonic,False,1235756,0.4245273412184152,0.13081157411193706
weather,cancellation,identity,True,1242515,0.02295169117549056,0.0038177018455707932
weather,cancellation,intercept,False,1242515,0.028246497174185824,0.0040757856497958805
weather,cancellation,platt,False,1242515,0.030010724509925625,0.005072848110087801
weather,cancellation,beta,False,1242515,0.0300065740233132,0.005064068843332876
weather,cancellation,isotonic,False,1242515,0.03050943215699568,0.005237778238031225
rotation_structural,delay,identity,True,1235756,0.4208428916461083,0.12983342665277378
rotation_structural,delay,intercept,False,1235756,0.42292389209896075,0.13054191489755543
rotation_structural,delay,platt,False,1235756,0.42273564715787504,0.13031373250934428
rotation_structural,delay,beta,False,1235756,0.4224799577241492,0.1301918194685447
rotation_structural,delay,isotonic,False,1235756,0.42284540475759813,0.1302215875941492
rotation_structural,cancellation,identity,True,1242515,0.02271442653625789,0.003807232325875292
rotation_structural,cancellation,intercept,False,1242515,0.027676854528649,0.004020235991837991
rotation_structural,cancellation,platt,False,1242515,0.029681786323691978,0.005212963875208852
rotation_structural,cancellation,beta,False,1242515,0.029673332181453176,0.005205388951662385
rotation_structural,cancellation,isotonic,False,1242515,0.03020524459633885,0.005321066927014893
rotation_risk,delay,identity,True,1235756,0.4220900300801975,0.13024626938410602
rotation_risk,delay,intercept,False,1235756,0.42396988567532395,0.13098206926089795
rotation_risk,delay,platt,False,1235756,0.42348545490938994,0.13059105460386225
rotation_risk,delay,beta,False,1235756,0.4232939741206717,0.1304810570290529
rotation_risk,delay,isotonic,False,1235756,0.4234732088469292,0.13051287201250153
rotation_risk,cancellation,identity,True,1242515,0.02271934583083216,0.003810299135149381
rotation_risk,cancellation,intercept,False,1242515,0.026631475803350176,0.003973385762592063
rotation_risk,cancellation,platt,False,1242515,0.027274216396396406,0.004701027702604849
rotation_risk,cancellation,beta,False,1242515,0.027263177451177865,0.0046908959264418786
rotation_risk,cancellation,isotonic,False,1242515,0.027780591113271778,0.0047746490225475825
